anonymous,author_shopid,author_username,cat_id,cmtid,comment,count_rating_with_image,count_with_context,ctime,editable,item_id,mtime,orderid,product_title,rating,rating_count0,rating_count1,rating_count2,rating_count3,rating_count4,rating_count5,rating_star,shopid,userid
False,243846312,rh.dian_s,100644,9692794823,"Sepadan dengan Harga:sangat sesuai dengan harga
Fitur Terbaik:super kencang dan bertenaga daripada hdd",1637,2135,1664496780,0,8827617188,1668161155,117681854237071,"SSD EYOTA 128GB SATA III 2.5"" 6GB/S GARANSI RESMI",7256,7256,44,17,75,546,6574,4.875172413793104,22284958,243852021
False,267836510,lmv05ku27h,100644,10245489355,"Akhirnya bisa kebeli pasti laptop saya jadi cepat nih apalagi pakai produk unggulan, semoga awet pakainya dan tidak ada kendala aminnn...

Excellence in performance
Everyday users can now enjoy professional-level SSD performance",7,7,1670393990,1,22807575197,1670393990,123998475205495,Samsung SSD 870 EVO 500GB 1TB 250GB SSD SATA SSD Internal SSD 2.5 SATA III SATA3 SATA 3 SSD 500 SSD,8,8,0,0,0,0,8,5.0,492765132,267839831
False,280003647,_b96voc0ur,100644,10386042095,"Sepadan dengan Harga:sepadan Fitur Terbaik:ya Alhamdulillah produk sdh sampai packing rapi produk baik trimakasih seller kurir dan shophee
",4,4,1671778483,1,21468723200,1671781504,125219625215676,【LIPI】Adapter Converter Hard Disk SATA to USB3.0/2.0 untuk HDD 2.5Inch SSD Converter USB to SATA,5,5,0,0,0,0,5,5.0,920541664,280009293
False,662086168,adimxr_zj7,100644,9971710336,"Fitur Terbaik:bagus
Sepadan dengan Harga:baik

Balik",419,570,1667539252,0,10508177051,1669471597,120984703277758,"SSD EYOTA 512GB SATA III 2.5"" 6GB/S GARANSI RESMI",2057,2057,14,6,18,167,1852,4.865337870685464,22284958,662105753
False,21445434,nopendra.trianto,100644,9184433629,"Seller terbaik fast respon,
Semua proses banyak di bantu,
Recommended nih penjualan.",337,410,1659782805,0,11527221270,1664106132,113189868164062,"SSD EYOTA 120GB SATA III 2.5"" 6GB/S GARANSI RESMI 5 TAHUN",1468,1468,6,2,19,117,1324,4.873978201634878,22284958,21446770
False,189170898,masajikristian,100644,10231337911,"Fitur Terbaik:wuss pengiriman cepat

Kemarin pesan sekarang sampe, sdd dah dicoba lancar dan mantul",592,768,1670232406,1,8488932331,1670232406,123839977214664,Midasforce SSD Superlightning 256GB,2146,2146,2,1,6,131,2006,4.930037313432836,14954873,189173660
False,27405288,dakenrusquidomozza,100644,9233200264,"Fitur Terbaik:HARGA BERSAHABAT, KUALITAS MANTAP

Pengemasan sangat baik, kualitas juga mantap, tidak ada cacat sejauh ini. Semoga awet & bertahan lama melebihi garasi ..
Pengiriman juga sangat cepat
Penjual responsif 😊

Terimakasih seller & shopee 😊😉",262,329,1660208129,0,8604152114,1671540496,113291339278670,SSD M2 NVME / M.2 NVME/ M2NVME 256GB RX7 RESMI GARANSI 3 TAHUN,1090,1090,3,4,6,75,1002,4.901744719926538,95959099,27406647
True,72208981,a*****s,100644,8845025895,"Barang bagus. Sampai dengan selamat. Pengiriman cepet banget cuma sehari. Udah dipasang, laptop jadi tambah ngebut. Saran mungkin packing nya bisa diupgrade jadi pakai kardus agar lebih aman. Terimakasih seller.",944,1149,1656747637,0,1369123719,1671010672,109568442536521,SSD 120GB 240GB 480GB 960GB 1920GB SATA 3 V-GeN Solid State Drive 128gb 256gb 512gb 1TB 2TB Vgen,3712,3712,8,2,30,314,3358,4.889008620689655,81074395,72210442
True,778889950,a*****l,100644,9570478140,"Fitur Terbaik:pengiriman cepat

Barang bagus normal semoga awet",198,238,1663237204,0,10539430451,1671191583,116775834223425,Midasforce SSD Superlightning 512GB,671,671,1,1,8,46,615,4.901492537313433,14954873,778873704
False,82676358,faridbukkar,100644,9558344159,Fitur Terbaik:jaminan original...serial number sama dengan soptware samsung magician,169,189,1663142680,0,8812939102,1671809649,116597853251628,"Samsung SSD 870 EVO 250GB / 500GB / 1TB / 2TB 2.5"" SATA3 Internal SSD Internal SATA III SSD 500 - Garansi Distributor Resmi 5 Tahun",580,580,3,0,4,29,544,4.915517241379311,90341746,82677835
False,5254624,wan_setiawan28,100644,10176536852,"Fitur Terbaik:Baik
Sepadan dengan Harga:Mantap

Mantap Barang sesuai orderan...Buat instal system..Semoga awet...Hdd lama di jadiin buat Penyimpanan..jos lah..👍👍👍💜",1890,2357,1669633650,1,1493900093,1671188562,123143865264186,SSD 128GB 256GB 512GB 1TB V-GeN 120GB 240GB 480GB 960GB VGEN + HDD Caddy 12.7 mm 9.5 mm Bracket PC,6661,6661,21,14,86,615,5925,4.865534855769231,81074395,5255918
False,34055800,windyclaudiass,100644,10180760846,"Barang sampai dengan baik, packingan bagus, barang yg sampai sesuai, semoga cocok dan awet untuk laptop saya..",61,69,1669688069,1,3750726027,1670471981,122609037108639,SSD Solid State Drive V-GeN 512GB SATA lll,234,234,1,0,2,16,215,4.897435897435898,38956854,34057184
False,352850189,firman_w_gumolung,100644,9342392603,"Barangnya sesuai deskripsi....👍 [UNTUK GAMBAR R/W ITU PC SAYA MODE IDE], kalo pake ACHI pasti tmbus 550 R/Wnya
udah 2 kali order di toko ini, pelayanannya ramah...😁
SSD + Caddynya mantap... 
terimakasih gan... 👍👍🙏🙏🙏",141,181,1661128955,2,1598062677,1670147644,114315760200767,SSD V-GeN RESCUE 120GB PLATINUM 128GB + HDD Caddy 12.7 mm/9.5 mm DVD Slot to HDD Slot,555,555,0,0,10,35,510,4.900900900900901,17847558,352869764
True,320178210,a*****a,100644,9965909010,"Fitur Terbaik:siip.. semoga awet dan tahan lama
Sepadan dengan Harga:standar

Produk ada garansi nya. Mati total bisa ditukar ganti baru (selama bukti video nya valid dan bisa dipertanggungjawabkan). Seller ramah dan respect..",1140,1458,1667469856,0,9346515134,1671800684,120106420147950,SSD RX7 256GB GARANSI RESMI 3 TAHUN,5034,5035,11,8,38,339,4639,4.905424200278164,95959099,320197809
False,662086168,adimxr_zj7,100644,9971710336,"Fitur Terbaik:bagus
Sepadan dengan Harga:baik

Balik",419,570,1667539252,0,10508177051,1669471597,120984703277758,"SSD EYOTA 512GB SATA III 2.5"" 6GB/S GARANSI RESMI",2057,2057,14,6,18,167,1852,4.865337870685464,22284958,662105753
True,237101350,r*****i,100644,10373230228,"Fitur Terbaik:Cepat
Sepadan dengan Harga:Ya

Barang sudah diterima, kondisi baik dan berfungsi normal",1491,1831,1671632570,1,8446513246,1671729727,124600341270598,SSD RX7 128GB RESMI 3 TAHUN,6546,6546,18,5,35,444,6044,4.909341500765697,95959099,237106530
False,11351559,fujizhong05,100644,8977614891,"Jujur awalnya gw gak ada planning beli ssd karena mahal banget untuk storage 500an gb.
Tapi sejak pc gaming melambat gak jelas, akhirnya pertimbangin ssd. Jujur worthed banget setelah pake ssd EX2 ini. Jadi kencang banget pc gw. Cek garansi di website official nomornya terdaftar juga. Moga awet deh!",158,187,1657864358,0,3746354838,1671498904,110778767166081,"TEAMGROUP SSD 2.5"" EX2 Series 512GB Sata3",423,423,0,1,7,29,386,4.898104265402844,76511815,11352859
True,23814122,d*****e,100644,8948557374,"barang sampai dengan selamat, pengemasan baik dan aman. ssd terdeteksi dan bekerja dengan baik. mudah2an awet.
thx seller sukses terus lapaknya.
#staysafe #stayhealthy",521,692,1657627986,0,1732290443,1669740615,110569285188120,V-GEN SSD M.2 SATA 128GB 256GB 512GB 1TB 2TB TURBO M2 128/256/512 GB/1 TB/2 TB VGEN 2280,2026,2026,12,2,12,152,1848,4.889822134387352,81074395,23815457
False,56750952,afthonm,100644,8871051085,"BARANG SESUAI, RESPON SELLER SANGAT RAMAH. Terimakasih banyak. Semoga sukses selalu..
Respon after sale pun tetap ramah. Bintang 10 buat seller.",149,201,1657000756,2,2122469212,1671796134,110347452143202,"SSD KINGSTON 240GB SATA 2.5 """,558,558,2,2,2,37,515,4.901433691756273,95959099,56752376
False,31048566,ardhi1221,100644,9836695528,"Fitur Terbaik:Original dan dalam di segel
Sepadan dengan Harga:sesuai dengan barang

Pengemasan rapi dan aman.
Kondisinya bagus.
Akan di test untuk upgrade laptop.
Mudah2an konek dan Drive tidak corrupt.
Nyaman belanja di sini",888,1083,1666006460,0,264232117,1666563795,119334144163107,"WD Green SSD 240GB Sata 3 - WDC Green 240 GB 2.5""",2921,2921,2,3,19,254,2643,4.894214310167751,22146031,31049950
False,291260463,rizalalfiandi10,100644,10271515156,"Fitur Terbaik:ssd NVMe M.2
Sepadan dengan Harga:ya

Barang yang datang sesuai dengan pesanan, free baut dan tambahan masker pula 👍 pengiriman cepat, pokoknya recomended 👍",25,34,1670667410,1,20831776123,1671668768,124036185240512,SSD PNY M.2 NVME CS1031 500GB/1TB/2TB RESMI,73,73,0,1,0,5,67,4.890410958904109,457005405,291279711
False,36614324,maszen71,100644,8061237300,"Barangnya bagus banget, semoga awet dan tidak gampang rusak, kualitas nya bagus, langsung suka, sesuai dengan harapan , mantap banget, recomended dah",176,200,1649856728,0,4962134665,1668984055,103089137575232,"(SERUNI) SSD V-GEN SATA 3 Solid State Drive 2.5""",672,672,0,2,1,37,632,4.937219730941704,3684562,36615708
False,126567996,didiktombrow,100644,10133917058,Oke barang sudah sampai dengan baik dan benar terimakasih banyak hehehehe dan bisa jadi langganan bos,21,27,1669186784,0,20008036565,1669186784,122651057192908,Midasforce SSD NVMe Lightning Max 512GB,53,53,1,0,1,2,49,4.849056603773585,14954873,126569820
False,24486994,julindalinda,100644,9509603741,"Barangnya datang dengan cepat, respon penjual sangat baik. Barangnya bagus langsung di pasang. Bakal beli lagi di sini, mantap sekali",443,513,1662725721,0,1306289214,1669263800,115962708261570,SSD V-Gen 256GB - Sata 3 VGen 256 GB,1714,1714,2,7,9,122,1574,4.9030939871570345,15607053,24488330
True,132374241,a*****3,100644,10021398439,"Fitur Terbaik:Bagus
Sepadan dengan Harga:Tidak tau

Tidak sesuai dengan yang ada di box. Tapi yasudah lah, namanya juga tidak ada yang sempurna",28,37,1668103017,0,16786277329,1671291290,121437706298713,"PNY SSD CS900 250GB 2,5inch Internal SATA III 6Gb/s",73,73,0,1,0,5,67,4.890410958904109,457005405,132376065
False,319423020,gratiopramada,100644,10099010056,"Fitur Terbaik:bagus blom di coba
Sepadan dengan Harga:sepadan

Semoga awett aminn",184,213,1668828900,0,17013072511,1668828900,122174769293209,"SSD V-GeN 128GB 256GB 512GB 1TB SATA 3 Solid State Drive 2.5"" VGEN",682,682,1,0,6,29,646,4.9340175953079175,129681898,319442619
True,52411432,a*****.,100644,8397021010,Produk yang dikirimkan sesuai dengan gambar produk dan pengiriman cepat,24,33,1652782988,0,7908417028,1652782988,106042994200249,C - SSD V-Gen Platinum 128GB/256GB/512GB / Sata 3 VGen 128 GB/256GB/512GB,141,141,0,0,1,11,129,4.907801418439717,9370819,52412820
True,57845776,u*****n,100644,9443625526,"Pengiriman aman, produk sesuai pesanan, dan berjalan dengan lancar di Laptop Jadul, semoga awet

Sukses selalu",7,12,1662084902,0,15660542040,1663391342,114436766205591,Ramos SSD SATA 256GB Black Gold,42,42,0,0,1,1,40,4.928571428571429,14954873,57847201
True,127895201,z*****i,100644,10201199043,"Fitur Terbaik:boleh lah dengan harga segitu

Barang mantap
Packing aman",811,987,1669887702,1,2040387931,1671798525,123324455199579,SSD ADATA SU650 240GB - SSD SATA 3 / SSD SATA III - SSD 2.5 inch - SSD 240GB,2518,2518,5,1,24,192,2296,4.895552025416998,135238684,127897025
True,167123022,w*****b,100644,10364983429,"Fitur Terbaik:simpel dan elegan
Sepadan dengan Harga:sesuai dengan fungsi dan pitur

Barang sesuai deskripsi, teknologi yg baik
Respon penjual cepat dan ramah,kurir cepat",102,133,1671549158,1,13321743580,1671594826,125126467110095,SanDisk Extreme Portable USB 3.1 Type-C External SSD,361,361,0,0,0,15,346,4.958448753462604,517737252,167125294
True,182130247,e*****o,100644,9809643108,"Fitur Terbaik:packing lumayan tebel dan Bagus
Sepadan dengan Harga:sesuai

Barang sesuai dengan deskripsi dan mantap.. semoga awet... TKS seller 😃",17,21,1665737168,0,16365533017,1665737168,119353001140150,"SSD V-GeN 128GB  256GB 512GB 1TERA SATA III 2.5""",73,73,0,0,1,2,70,4.945205479452055,20265343,182132899
False,242834698,pian855,100644,10264546300,"Sepadan dengan Harga:mantap harganya
Fitur Terbaik:oke

Mudah2an awet   dan bagus   beli rx 7 belum pernah gagal",314,401,1670586182,1,8646515502,1670586182,124086010140758,SSD RX7 512GB GARANSI RESMI 3 TAHUN,1303,1303,5,1,8,79,1210,4.912442396313364,95959099,242840329
False,575839511,nasrulrzk,100644,10385760890,Fitur Terbaik:mantap,21,22,1671776424,1,21022289006,1671776424,124935115241940,SSD NVME M.2 256GB KAIZEN SSD NVMe M.2 PCIe Gen3 GARANSI RESMI,87,87,1,0,1,7,78,4.850574712643678,22284958,575859096
False,159581816,pujakaliajaga,100644,6853782382,"Alhamdulillah sudah sampai,terimakasih dan blablablablabla",130,140,1639114379,0,4850629427,1670459887,92654969460282,SSD Solid State Drive V-GeN 128GB SATA lll,462,462,2,0,7,42,411,4.861471861471862,38956854,159583858
False,665001403,zamproject,100644,9631007987,"Fitur Terbaik:pengepakan rapih dan aman, pengiriman cepat
Sepadan dengan Harga:ya

Sementara review tampilan dulu,mudah-mudahan barang berjalan sempurna",1102,1409,1663843559,0,6482316799,1670845739,117246857290272,"SSD EYOTA 256GB SATA III 2.5"" 6GB/S GARANSI RESMI",5238,5238,28,11,64,408,4727,4.871466768525592,22284958,665020988
True,148469686,a*****2,100644,7060493845,"Barangnya Oke 👍🏻

Tidak ada kendala dalam pemakaian.
Hanya saja pengirimannya yang agak lama.",176,229,1640709491,0,5469904967,1671557001,93762344525132,SSD M2 NVME / M.2 NVME/ M2NVME 512GB RX7 RESMI GARANSI 3 TAHUN,684,684,0,2,1,42,639,4.926900584795321,95959099,148471510
True,150019344,r*****s,100644,6763147189,"Dari dulu selalu percaya sih sama kualitas teamgroup gak abal"", selain seller responsif dan komunikatif, packing kardus good. Top markotop !",144,168,1638279398,0,6750174477,1665184785,91611795138191,"TEAMGROUP SSD 2.5"" CX2 Series 256GB Sata3",424,424,1,0,1,33,389,4.908018867924528,76511815,150021168
False,431370721,asepdemes,100644,9814193699,"Semoga awet product-nya
Sudah saya pakai SSD-nya ke PlayStation 3 saya
Pas dipakai langsung lancar 😁",9,9,1665770498,0,18111233878,1665770498,119083503275686,"SSD V-GeN Rescue 240GB SATA 3 Solid State Drive 2.5""",36,36,0,0,1,1,34,4.916666666666667,38956854,431390298
False,401105168,ahmadbriski,100644,10381115650,"Fitur Terbaik:bagus
Sepadan dengan Harga:terjangkau harga

Terimakasih paket sudah sampai, packing nya rapi dan kurir ngantar ramah",63,64,1671715347,1,9431611209,1671715347,124655544177183,Samsung SSD 980 SSD 250GB / SSD 500GB / SSD 1TB M.2 SSD M2 PCIe GEN3.0 NVME 1.4 2280 M2 SSD Internal SSD WD SSD ADATA SSD SANDISK Garansi 5thn,240,240,0,1,3,16,220,4.895833333333333,90341746,401124745
