anonymous,author_shopid,author_username,cat_id,cmtid,comment,count_rating_with_image,count_with_context,ctime,editable,item_id,mtime,orderid,product_title,rating,rating_count0,rating_count1,rating_count2,rating_count3,rating_count4,rating_count5,rating_star,shopid,userid
False,243846312.0,rh.dian_s,100644,9692794823.0,"Sepadan dengan Harga:sangat sesuai dengan harga
Fitur Terbaik:super kencang dan bertenaga daripada hdd",1637,2135,1664496780.0,0.0,8827617188,1668161155.0,117681854237071.0,"SSD EYOTA 128GB SATA III 2.5"" 6GB/S GARANSI RESMI",7256,7256,44,17,75,546,6574,4.875172413793104,22284958,243852021.0
False,267836510.0,lmv05ku27h,100644,10245489355.0,"Akhirnya bisa kebeli pasti laptop saya jadi cepat nih apalagi pakai produk unggulan, semoga awet pakainya dan tidak ada kendala aminnn...

Excellence in performance
Everyday users can now enjoy professional-level SSD performance",7,7,1670393990.0,1.0,22807575197,1670393990.0,123998475205495.0,Samsung SSD 870 EVO 500GB 1TB 250GB SSD SATA SSD Internal SSD 2.5 SATA III SATA3 SATA 3 SSD 500 SSD,8,8,0,0,0,0,8,5.0,492765132,267839831.0
False,280003647.0,_b96voc0ur,100644,10386042095.0,"Sepadan dengan Harga:sepadan Fitur Terbaik:ya Alhamdulillah produk sdh sampai packing rapi produk baik trimakasih seller kurir dan shophee
",4,4,1671778483.0,1.0,21468723200,1671781504.0,125219625215676.0,【LIPI】Adapter Converter Hard Disk SATA to USB3.0/2.0 untuk HDD 2.5Inch SSD Converter USB to SATA,5,5,0,0,0,0,5,5.0,920541664,280009293.0
False,662086168.0,adimxr_zj7,100644,9971710336.0,"Fitur Terbaik:bagus
Sepadan dengan Harga:baik

Balik",419,570,1667539252.0,0.0,10508177051,1669471597.0,120984703277758.0,"SSD EYOTA 512GB SATA III 2.5"" 6GB/S GARANSI RESMI",2057,2057,14,6,18,167,1852,4.865337870685464,22284958,662105753.0
False,21445434.0,nopendra.trianto,100644,9184433629.0,"Seller terbaik fast respon,
Semua proses banyak di bantu,
Recommended nih penjualan.",337,410,1659782805.0,0.0,11527221270,1664106132.0,113189868164062.0,"SSD EYOTA 120GB SATA III 2.5"" 6GB/S GARANSI RESMI 5 TAHUN",1468,1468,6,2,19,117,1324,4.873978201634878,22284958,21446770.0
False,189170898.0,masajikristian,100644,10231337911.0,"Fitur Terbaik:wuss pengiriman cepat

Kemarin pesan sekarang sampe, sdd dah dicoba lancar dan mantul",592,768,1670232406.0,1.0,8488932331,1670232406.0,123839977214664.0,Midasforce SSD Superlightning 256GB,2146,2146,2,1,6,131,2006,4.930037313432836,14954873,189173660.0
False,27405288.0,dakenrusquidomozza,100644,9233200264.0,"Fitur Terbaik:HARGA BERSAHABAT, KUALITAS MANTAP

Pengemasan sangat baik, kualitas juga mantap, tidak ada cacat sejauh ini. Semoga awet & bertahan lama melebihi garasi ..
Pengiriman juga sangat cepat
Penjual responsif 😊

Terimakasih seller & shopee 😊😉",262,329,1660208129.0,0.0,8604152114,1671540496.0,113291339278670.0,SSD M2 NVME / M.2 NVME/ M2NVME 256GB RX7 RESMI GARANSI 3 TAHUN,1090,1090,3,4,6,75,1002,4.901744719926538,95959099,27406647.0
True,72208981.0,a*****s,100644,8845025895.0,"Barang bagus. Sampai dengan selamat. Pengiriman cepet banget cuma sehari. Udah dipasang, laptop jadi tambah ngebut. Saran mungkin packing nya bisa diupgrade jadi pakai kardus agar lebih aman. Terimakasih seller.",944,1149,1656747637.0,0.0,1369123719,1671010672.0,109568442536521.0,SSD 120GB 240GB 480GB 960GB 1920GB SATA 3 V-GeN Solid State Drive 128gb 256gb 512gb 1TB 2TB Vgen,3712,3712,8,2,30,314,3358,4.889008620689655,81074395,72210442.0
True,778889950.0,a*****l,100644,9570478140.0,"Fitur Terbaik:pengiriman cepat

Barang bagus normal semoga awet",198,238,1663237204.0,0.0,10539430451,1671191583.0,116775834223425.0,Midasforce SSD Superlightning 512GB,671,671,1,1,8,46,615,4.901492537313433,14954873,778873704.0
False,82676358.0,faridbukkar,100644,9558344159.0,Fitur Terbaik:jaminan original...serial number sama dengan soptware samsung magician,169,189,1663142680.0,0.0,8812939102,1671809649.0,116597853251628.0,"Samsung SSD 870 EVO 250GB / 500GB / 1TB / 2TB 2.5"" SATA3 Internal SSD Internal SATA III SSD 500 - Garansi Distributor Resmi 5 Tahun",580,580,3,0,4,29,544,4.915517241379311,90341746,82677835.0
False,5254624.0,wan_setiawan28,100644,10176536852.0,"Fitur Terbaik:Baik
Sepadan dengan Harga:Mantap

Mantap Barang sesuai orderan...Buat instal system..Semoga awet...Hdd lama di jadiin buat Penyimpanan..jos lah..👍👍👍💜",1890,2357,1669633650.0,1.0,1493900093,1671188562.0,123143865264186.0,SSD 128GB 256GB 512GB 1TB V-GeN 120GB 240GB 480GB 960GB VGEN + HDD Caddy 12.7 mm 9.5 mm Bracket PC,6661,6661,21,14,86,615,5925,4.865534855769231,81074395,5255918.0
False,34055800.0,windyclaudiass,100644,10180760846.0,"Barang sampai dengan baik, packingan bagus, barang yg sampai sesuai, semoga cocok dan awet untuk laptop saya..",61,69,1669688069.0,1.0,3750726027,1670471981.0,122609037108639.0,SSD Solid State Drive V-GeN 512GB SATA lll,234,234,1,0,2,16,215,4.897435897435898,38956854,34057184.0
False,352850189.0,firman_w_gumolung,100644,9342392603.0,"Barangnya sesuai deskripsi....👍 [UNTUK GAMBAR R/W ITU PC SAYA MODE IDE], kalo pake ACHI pasti tmbus 550 R/Wnya
udah 2 kali order di toko ini, pelayanannya ramah...😁
SSD + Caddynya mantap... 
terimakasih gan... 👍👍🙏🙏🙏",141,181,1661128955.0,2.0,1598062677,1670147644.0,114315760200767.0,SSD V-GeN RESCUE 120GB PLATINUM 128GB + HDD Caddy 12.7 mm/9.5 mm DVD Slot to HDD Slot,555,555,0,0,10,35,510,4.900900900900901,17847558,352869764.0
True,320178210.0,a*****a,100644,9965909010.0,"Fitur Terbaik:siip.. semoga awet dan tahan lama
Sepadan dengan Harga:standar

Produk ada garansi nya. Mati total bisa ditukar ganti baru (selama bukti video nya valid dan bisa dipertanggungjawabkan). Seller ramah dan respect..",1140,1458,1667469856.0,0.0,9346515134,1671800684.0,120106420147950.0,SSD RX7 256GB GARANSI RESMI 3 TAHUN,5034,5035,11,8,38,339,4639,4.905424200278164,95959099,320197809.0
True,237101350.0,r*****i,100644,10373230228.0,"Fitur Terbaik:Cepat
Sepadan dengan Harga:Ya

Barang sudah diterima, kondisi baik dan berfungsi normal",1491,1831,1671632570.0,1.0,8446513246,1671729727.0,124600341270598.0,SSD RX7 128GB RESMI 3 TAHUN,6546,6546,18,5,35,444,6044,4.909341500765697,95959099,237106530.0
